,TF,Target,Label
0,4,1058,1
1,4,763,1
2,4,1153,1
3,4,829,1
4,17,747,1
5,17,806,1
6,17,410,1
7,17,659,1
8,17,430,1
9,17,1174,1
10,17,955,1
11,17,1198,1
12,17,1172,1
13,17,79,1
14,17,971,1
15,17,890,1
16,17,793,1
17,17,467,1
18,17,215,1
19,17,860,1
20,17,471,1
21,17,935,1
22,23,995,1
23,23,192,1
24,23,1176,1
25,27,320,1
26,27,929,1
27,27,151,1
28,27,709,1
29,30,350,1
30,30,732,1
31,30,1144,1
32,30,790,1
33,30,975,1
34,30,588,1
35,30,66,1
36,30,315,1
37,30,992,1
38,54,118,1
39,54,1050,1
40,54,1002,1
41,54,36,1
42,59,935,1
43,59,877,1
44,59,1061,1
45,59,430,1
46,59,240,1
47,59,1002,1
48,59,302,1
49,59,103,1
50,59,802,1
51,59,554,1
52,59,410,1
53,59,199,1
54,59,990,1
55,59,1018,1
56,59,871,1
57,59,840,1
58,59,164,1
59,72,1037,1
60,72,723,1
61,72,127,1
62,72,971,1
63,72,415,1
64,72,332,1
65,72,849,1
66,72,307,1
67,78,335,1
68,78,215,1
69,78,756,1
70,79,396,1
71,79,763,1
72,79,1198,1
73,79,4,1
74,79,1171,1
75,79,806,1
76,79,555,1
77,79,582,1
78,79,332,1
79,79,1183,1
80,79,1165,1
81,79,136,1
82,79,180,1
83,80,403,1
84,80,1091,1
85,80,870,1
86,80,605,1
87,80,120,1
88,82,1150,1
89,82,993,1
90,82,537,1
91,82,341,1
92,82,440,1
93,82,834,1
94,82,719,1
95,82,234,1
96,82,886,1
97,82,685,1
98,82,1100,1
99,82,295,1
100,95,1111,1
101,95,191,1
102,95,239,1
103,95,858,1
104,95,1175,1
105,95,408,1
106,111,350,1
107,111,57,1
108,111,234,1
109,111,198,1
110,111,102,1
111,111,965,1
112,111,855,1
113,111,444,1
114,111,975,1
115,111,608,1
116,111,765,1
117,111,366,1
118,111,145,1
119,111,1073,1
120,111,998,1
121,111,611,1
122,111,43,1
123,111,169,1
124,111,440,1
125,111,66,1
126,111,237,1
127,111,189,1
128,111,118,1
129,111,899,1
130,111,265,1
131,111,748,1
132,111,1135,1
133,111,244,1
134,111,790,1
135,111,886,1
136,111,868,1
137,118,43,1
138,118,1130,1
139,118,280,1
140,118,189,1
141,118,477,1
142,118,54,1
143,118,588,1
144,118,274,1
145,118,169,1
146,118,48,1
147,118,748,1
148,118,301,1
149,118,576,1
150,118,434,1
151,118,950,1
152,118,679,1
153,118,868,1
154,118,34,1
155,118,855,1
156,118,760,1
157,118,989,1
158,118,313,1
159,118,316,1
160,118,315,1
161,118,1095,1
162,118,444,1
163,118,965,1
164,118,66,1
165,118,1047,1
166,118,466,1
167,118,992,1
168,118,615,1
169,118,608,1
170,118,1042,1
171,118,732,1
172,118,424,1
173,118,111,1
174,118,886,1
175,118,265,1
176,118,838,1
177,118,933,1
178,118,234,1
179,125,515,1
180,141,231,1
181,141,444,1
182,141,221,1
183,141,456,1
184,141,510,1
185,141,96,1
186,141,1013,1
187,141,1098,1
188,141,798,1
189,141,535,1
190,141,597,1
191,141,688,1
192,141,434,1
193,143,1074,1
194,143,501,1
195,143,1013,1
196,143,597,1
197,143,798,1
198,143,550,1
199,143,779,1
200,143,231,1
201,143,907,1
202,143,106,1
203,143,1177,1
204,143,552,1
205,143,688,1
206,143,847,1
207,143,120,1
208,143,444,1
209,143,1154,1
210,151,417,1
211,151,995,1
212,151,233,1
213,151,128,1
214,151,27,1
215,151,582,1
216,155,821,1
217,155,367,1
218,161,819,1
219,161,480,1
220,162,1092,1
221,162,82,1
222,162,685,1
223,163,1010,1
224,180,72,1
225,180,1091,1
226,180,454,1
227,180,992,1
228,180,932,1
229,180,673,1
230,180,714,1
231,180,659,1
232,191,95,1
233,192,995,1
234,192,1070,1
235,192,750,1
236,192,23,1
237,202,267,1
238,202,482,1
239,205,609,1
240,206,157,1
241,206,803,1
242,206,793,1
243,206,732,1
244,206,9,1
245,206,690,1
246,206,968,1
247,206,660,1
248,206,48,1
249,206,739,1
250,206,198,1
251,206,189,1
252,206,790,1
253,206,583,1
254,206,466,1
255,206,145,1
256,206,966,1
257,206,861,1
258,206,648,1
259,215,415,1
260,215,290,1
261,215,78,1
262,215,332,1
263,215,1037,1
264,215,431,1
265,215,95,1
266,215,849,1
267,215,806,1
268,216,1100,1
269,216,258,1
270,216,878,1
271,216,126,1
272,217,1031,1
273,217,1050,1
274,224,214,1
275,233,151,1
276,233,449,1
277,233,883,1
278,233,276,1
279,235,1098,1
280,236,186,1
281,244,133,1
282,244,765,1
283,244,899,1
284,244,855,1
285,244,886,1
286,244,111,1
287,244,537,1
288,255,1037,1
289,255,17,1
290,258,1173,1
291,258,126,1
292,258,216,1
293,267,482,1
294,267,157,1
295,267,202,1
296,267,66,1
297,267,790,1
298,267,608,1
299,267,992,1
300,276,582,1
301,276,786,1
302,276,714,1
303,276,449,1
304,290,1180,1
305,290,1053,1
306,290,444,1
307,290,1083,1
308,291,577,1
309,291,387,1
310,297,608,1
311,297,43,1
312,297,1100,1
313,297,350,1
314,297,24,1
315,297,933,1
316,297,265,1
317,297,57,1
318,297,315,1
319,297,366,1
320,297,198,1
321,297,66,1
322,297,313,1
323,297,732,1
324,297,477,1
325,297,169,1
326,297,444,1
327,297,855,1
328,297,576,1
329,297,790,1
330,297,1130,1
331,297,48,1
332,297,111,1
333,297,1010,1
334,297,679,1
335,297,521,1
336,297,53,1
337,297,899,1
338,297,281,1
339,297,992,1
340,297,237,1
341,297,466,1
342,297,965,1
343,297,440,1
344,298,328,1
345,298,161,1
346,306,338,1
347,306,670,1
348,306,577,1
349,306,582,1
350,306,861,1
351,307,1037,1
352,307,714,1
353,307,255,1
354,307,72,1
355,307,17,1
356,307,995,1
357,307,216,1
358,307,126,1
359,307,582,1
360,307,806,1
361,307,849,1
362,307,1053,1
363,311,290,1
364,311,1053,1
365,311,582,1
366,325,610,1
367,332,615,1
368,332,806,1
369,332,215,1
370,332,79,1
371,335,577,1
372,335,670,1
373,340,1044,1
374,340,456,1
375,340,295,1
376,340,150,1
377,340,1098,1
378,341,113,1
379,341,813,1
380,341,511,1
381,341,295,1
382,341,765,1
383,357,1150,1
384,357,1196,1
385,357,1114,1
386,357,195,1
387,357,1092,1
388,389,143,1
389,389,1154,1
390,389,120,1
391,389,501,1
392,394,381,1
393,394,396,1
394,417,151,1
395,417,577,1
396,417,276,1
397,420,111,1
398,420,765,1
399,436,602,1
400,447,66,1
401,447,145,1
402,447,424,1
403,447,481,1
404,447,996,1
405,447,315,1
406,447,989,1
407,447,880,1
408,447,466,1
409,447,803,1
410,447,615,1
411,447,198,1
412,447,444,1
413,447,776,1
414,447,679,1
415,447,790,1
416,447,1122,1
417,447,169,1
418,448,332,1
419,449,151,1
420,449,276,1
421,449,806,1
422,449,233,1
423,449,833,1
424,449,1083,1
425,454,236,1
426,454,609,1
427,454,79,1
428,461,833,1
429,482,202,1
430,482,267,1
431,541,307,1
432,543,1010,1
433,543,1073,1
434,543,447,1
435,543,732,1
436,543,189,1
437,543,1000,1
438,543,57,1
439,543,157,1
440,543,963,1
441,543,1122,1
442,543,583,1
443,543,803,1
444,543,690,1
445,543,424,1
446,543,338,1
447,543,793,1
448,543,206,1
449,543,145,1
450,543,988,1
451,543,53,1
452,543,48,1
453,543,43,1
454,543,274,1
455,553,60,1
456,553,604,1
457,553,249,1
458,555,1111,1
459,577,291,1
460,577,78,1
461,577,670,1
462,577,834,1
463,577,938,1
464,577,335,1
465,577,417,1
466,577,113,1
467,582,306,1
468,582,1157,1
469,582,763,1
470,582,116,1
471,582,1118,1
472,582,592,1
473,582,386,1
474,582,151,1
475,582,709,1
476,582,311,1
477,588,760,1
478,588,975,1
479,588,118,1
480,588,157,1
481,588,1135,1
482,588,466,1
483,588,53,1
484,588,615,1
485,588,100,1
486,588,748,1
487,588,274,1
488,588,679,1
489,588,537,1
490,588,43,1
491,588,838,1
492,588,424,1
493,588,1063,1
494,588,1095,1
495,588,66,1
496,588,102,1
497,588,24,1
498,588,992,1
499,588,111,1
500,588,933,1
501,588,265,1
502,588,444,1
503,588,297,1
504,588,521,1
505,588,885,1
506,588,1054,1
507,588,418,1
508,588,350,1
509,588,434,1
510,588,1130,1
511,588,855,1
512,588,237,1
513,588,989,1
514,588,169,1
515,588,228,1
516,588,899,1
517,589,609,1
518,589,426,1
519,589,970,1
520,589,363,1
521,592,233,1
522,592,582,1
523,601,932,1
524,601,1157,1
525,605,1091,1
526,605,870,1
527,605,1053,1
528,605,150,1
529,605,120,1
530,609,180,1
531,609,1085,1
532,609,932,1
533,609,677,1
534,609,589,1
535,610,1098,1
536,610,614,1
537,610,558,1
538,610,95,1
539,614,806,1
540,643,287,1
541,646,225,1
542,646,780,1
543,646,925,1
544,646,422,1
545,646,1150,1
546,646,387,1
547,646,889,1
548,646,1137,1
549,658,582,1
550,658,714,1
551,670,756,1
552,670,468,1
553,670,306,1
554,670,577,1
555,672,816,1
556,677,992,1
557,677,686,1
558,677,1083,1
559,677,477,1
560,677,169,1
561,677,760,1
562,677,510,1
563,677,793,1
564,677,202,1
565,677,482,1
566,685,1150,1
567,685,82,1
568,685,162,1
569,685,1100,1
570,686,454,1
571,686,760,1
572,686,677,1
573,686,679,1
574,706,577,1
575,706,688,1
576,706,550,1
577,706,434,1
578,709,582,1
579,709,1118,1
580,714,17,1
581,714,992,1
582,714,1083,1
583,714,703,1
584,714,57,1
585,714,553,1
586,714,79,1
587,714,573,1
588,714,307,1
589,714,659,1
590,714,1037,1
591,714,806,1
592,719,440,1
593,719,889,1
594,719,1150,1
595,719,204,1
596,719,993,1
597,719,886,1
598,719,1100,1
599,719,234,1
600,719,537,1
601,719,133,1
602,719,1137,1
603,719,780,1
604,721,714,1
605,721,706,1
606,721,415,1
607,721,951,1
608,721,1176,1
609,749,899,1
610,749,1010,1
611,749,189,1
612,749,855,1
613,749,1054,1
614,749,418,1
615,749,1135,1
616,749,274,1
617,749,157,1
618,749,748,1
619,749,588,1
620,749,868,1
621,749,24,1
622,749,576,1
623,749,583,1
624,749,350,1
625,749,989,1
626,749,313,1
627,749,118,1
628,749,1004,1
629,749,886,1
630,749,145,1
631,749,111,1
632,749,933,1
633,749,679,1
634,749,444,1
635,749,732,1
636,749,838,1
637,749,1095,1
638,749,608,1
639,749,1042,1
640,749,366,1
641,750,835,1
642,750,686,1
643,750,1100,1
644,750,313,1
645,750,82,1
646,750,192,1
647,750,1150,1
648,751,1100,1
649,751,82,1
650,751,750,1
651,751,835,1
652,756,335,1
653,756,577,1
654,763,79,1
655,763,582,1
656,763,1171,1
657,763,741,1
658,763,1091,1
659,765,341,1
660,765,993,1
661,765,770,1
662,765,111,1
663,765,886,1
664,765,899,1
665,765,113,1
666,770,511,1
667,770,798,1
668,770,440,1
669,770,113,1
670,770,302,1
671,770,341,1
672,770,1105,1
673,770,82,1
674,770,295,1
675,770,320,1
676,770,886,1
677,770,412,1
678,770,899,1
679,772,192,1
680,772,995,1
681,786,442,1
682,786,276,1
683,802,344,1
684,802,1039,1
685,802,59,1
686,802,840,1
687,806,609,1
688,806,714,1
689,806,1036,1
690,806,1100,1
691,806,332,1
692,806,835,1
693,806,1150,1
694,806,72,1
695,806,449,1
696,806,431,1
697,813,855,1
698,813,234,1
699,813,923,1
700,813,111,1
701,813,770,1
702,816,995,1
703,816,1100,1
704,816,672,1
705,816,878,1
706,819,1101,1
707,819,541,1
708,819,1037,1
709,819,1198,1
710,819,480,1
711,833,449,1
712,833,461,1
713,834,82,1
714,834,877,1
715,835,357,1
716,835,1092,1
717,835,1100,1
718,835,750,1
719,835,1150,1
720,835,1114,1
721,835,751,1
722,840,1002,1
723,840,103,1
724,840,240,1
725,840,1039,1
726,840,59,1
727,840,1018,1
728,840,877,1
729,840,990,1
730,840,199,1
731,858,95,1
732,868,189,1
733,868,749,1
734,868,228,1
735,868,157,1
736,868,297,1
737,868,1128,1
738,868,440,1
739,868,313,1
740,868,198,1
741,868,315,1
742,868,281,1
743,868,588,1
744,868,100,1
745,868,1135,1
746,868,965,1
747,868,885,1
748,868,444,1
749,868,53,1
750,868,1054,1
751,868,1004,1
752,868,118,1
753,868,748,1
754,868,950,1
755,868,679,1
756,868,466,1
757,868,989,1
758,868,66,1
759,868,537,1
760,868,418,1
761,868,933,1
762,868,57,1
763,868,234,1
764,868,608,1
765,868,1095,1
766,870,501,1
767,870,106,1
768,870,80,1
769,870,1091,1
770,870,605,1
771,877,573,1
772,877,59,1
773,877,1031,1
774,877,199,1
775,877,1039,1
776,877,479,1
777,877,88,1
778,877,1018,1
779,877,345,1
780,877,990,1
781,877,264,1
782,877,1050,1
783,877,635,1
784,877,344,1
785,877,1120,1
786,877,1100,1
787,878,216,1
788,878,816,1
789,878,126,1
790,878,672,1
791,890,17,1
792,932,27,1
793,932,180,1
794,932,307,1
795,932,601,1
796,938,577,1
797,939,648,1
798,939,966,1
799,939,145,1
800,939,206,1
801,939,440,1
802,939,803,1
803,939,338,1
804,939,315,1
805,939,57,1
806,939,510,1
807,939,988,1
808,939,583,1
809,939,968,1
810,939,53,1
811,939,690,1
812,939,120,1
813,939,793,1
814,939,466,1
815,939,43,1
816,939,975,1
817,939,679,1
818,939,395,1
819,939,1063,1
820,939,301,1
821,939,198,1
822,939,434,1
823,951,577,1
824,951,72,1
825,965,790,1
826,965,53,1
827,965,679,1
828,965,1095,1
829,965,274,1
830,965,297,1
831,965,993,1
832,965,996,1
833,965,424,1
834,965,576,1
835,965,189,1
836,965,1054,1
837,965,855,1
838,965,313,1
839,965,43,1
840,965,133,1
841,965,868,1
842,965,1128,1
843,965,466,1
844,965,100,1
845,965,66,1
846,965,933,1
847,965,418,1
848,965,950,1
849,965,157,1
850,965,1010,1
851,965,1042,1
852,965,1130,1
853,965,366,1
854,965,838,1
855,965,749,1
856,965,975,1
857,965,1004,1
858,965,537,1
859,978,819,1
860,1008,1070,1
861,1008,885,1
862,1037,255,1
863,1037,806,1
864,1037,17,1
865,1037,714,1
866,1037,819,1
867,1037,215,1
868,1037,849,1
869,1042,588,1
870,1042,899,1
871,1042,1095,1
872,1042,234,1
873,1042,965,1
874,1042,1130,1
875,1042,992,1
876,1042,868,1
877,1042,1054,1
878,1042,301,1
879,1042,1135,1
880,1042,1004,1
881,1042,886,1
882,1042,885,1
883,1042,576,1
884,1053,605,1
885,1053,290,1
886,1058,1151,1
887,1058,363,1
888,1058,589,1
889,1058,704,1
890,1058,974,1
891,1058,628,1
892,1058,4,1
893,1070,899,1
894,1070,721,1
895,1070,677,1
896,1070,1008,1
897,1070,750,1
898,1070,886,1
899,1083,795,1
900,1083,677,1
901,1083,449,1
902,1083,111,1
903,1083,839,1
904,1083,1180,1
905,1092,835,1
906,1092,1100,1
907,1092,433,1
908,1092,162,1
909,1092,1150,1
910,1100,307,1
911,1100,685,1
912,1100,751,1
913,1100,297,1
914,1100,440,1
915,1100,393,1
916,1100,925,1
917,1100,162,1
918,1100,195,1
919,1100,537,1
920,1100,886,1
921,1100,1137,1
922,1100,345,1
923,1100,646,1
924,1100,719,1
925,1100,1092,1
926,1100,126,1
927,1100,479,1
928,1100,216,1
929,1100,993,1
930,1100,258,1
931,1100,889,1
932,1100,82,1
933,1100,1150,1
934,1100,1196,1
935,1100,877,1
936,1101,17,1
937,1101,1198,1
938,1101,819,1
939,1111,95,1
940,1111,555,1
941,1114,433,1
942,1114,357,1
943,1114,1100,1
944,1114,1196,1
945,1114,754,1
946,1118,27,1
947,1118,582,1
948,1137,249,1
949,1137,225,1
950,1137,925,1
951,1137,422,1
952,1137,780,1
